45mA_I,45mA_U,35mA_I,35mA_U,25mA_I,25mA_U,15mA_I,15mA_U
45.0 ,0.22 ,35.0 ,0.17 ,25.0 ,0.13 ,14.9 ,0.07 
44.0 ,1.70 ,34.9 ,0.53 ,24.7 ,0.30 ,14.8 ,0.44 
42.6 ,1.82 ,34.6 ,1.06 ,24.5 ,0.97 ,14.7 ,0.76 
40.5 ,1.87 ,34.5 ,1.60 ,23.3 ,1.60 ,14.6 ,0.98 
38.2 ,1.90 ,33.3 ,1.76 ,23.6 ,1.72 ,14.6 ,1.17 
36.5 ,1.92 ,32.4 ,1.80 ,22.4 ,1.80 ,14.6 ,1.38 
34.1 ,1.94 ,30.4 ,1.86 ,21.7 ,1.83 ,14.1 ,1.61 
32.1 ,1.96 ,29.0 ,1.88 ,20.0 ,1.87 ,13.7 ,1.66 
30.1 ,1.97 ,27.3 ,1.91 ,19.1 ,1.89 ,12.6 ,1.76 
28.4 ,1.98 ,25.9 ,1.92 ,18.1 ,1.90 ,11.6 ,1.81 
26.0 ,2.00 ,23.9 ,1.94 ,17.2 ,1.92 ,11.6 ,1.81 
24.3 ,2.01 ,22.8 ,1.95 ,16.0 ,1.93 ,10.7 ,1.83 
22.0 ,2.02 ,21.8 ,1.96 ,15.0 ,1.95 ,9.7 ,1.86 
20.2 ,2.02 ,20.3 ,1.97 ,14.1 ,1.96 ,9.2 ,1.87 
18.2 ,2.03 ,19.2 ,1.98 ,13.3 ,1.96 ,9.2 ,1.87 
16.1 ,2.04 ,18.0 ,1.99 ,12.0 ,1.98 ,8.6 ,1.89 
14.0 ,2.05 ,16.5 ,2.00 ,11.2 ,1.98 ,7.8 ,1.90 
12.1 ,2.06 ,14.5 ,2.01 ,10.7 ,1.99 ,7.5 ,1.91 
10.4 ,2.06 ,13.9 ,2.01 ,9.1 ,2.00 ,,
8.2 ,2.07 ,12.4 ,2.02 ,7.9 ,2.01 ,,
,,11.7 ,2.03 ,,,,
,,10.1 ,2.03 ,,,,
,,8.0 ,2.04 ,,,,
